48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x28	0.00	0.09	0.00	0.28	0.02	0.19	0.08
x29	0.00	0.01	0.02	0.14	0.12	0.08	0.06
x30	0.17	0.01	0.02	0.16	0.07	0.00	0.09
x31	0.12	0.00	0.04	0.02	0.00	0.02	0.04
x32	0.07	0.01	0.03	0.07	0.02	0.08	0.04
x33	0.08	0.01	0.01	0.12	0.01	0.01	0.05
x34	0.05	0.01	0.05	0.05	0.00	0.12	0.03
x35	0.09	0.00	0.03	0.00	0.02	0.08	0.03
x36	0.00	0.11	0.00	0.88	0.31	0.50	0.26
x37	0.00	0.01	0.06	0.09	0.15	1.00	0.06
x38	0.00	0.03	0.05	0.23	0.02	0.71	0.07
x39	0.00	0.07	0.02	0.56	0.11	0.61	0.15
x40	0.00	0.20	0.07	0.81	0.51	0.72	0.32
x41	0.00	0.08	0.06	0.33	0.24	0.81	0.14
x42	0.00	0.05	0.02	0.19	0.21	0.08	0.09
x43	0.00	0.04	0.03	0.63	0.13	0.65	0.17
x44	0.00	0.65	0.02	1.00	0.23	0.14	0.38
x45	0.00	0.38	0.04	0.93	0.13	0.35	0.30
x46	0.00	0.79	0.01	1.00	0.07	0.57	0.37
x47	0.00	1.00	0.01	0.98	0.20	0.65	0.44
48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.06	0.11	0.74	1.00	0.00	0.38
x1	0.00	0.05	0.37	0.51	0.84	0.00	0.35
x2	0.00	0.07	0.31	0.56	0.81	0.00	0.35
x3	0.00	0.03	0.33	0.28	0.58	0.00	0.24
x4	0.00	0.05	0.15	0.60	0.69	0.01	0.30
x5	0.00	0.01	0.05	0.14	0.40	0.00	0.12
x6	0.00	0.13	0.36	0.58	0.00	0.30	0.21
x7	0.00	0.25	0.06	1.00	0.23	1.00	0.31
x8	0.00	0.70	0.07	1.00	0.27	0.05	0.41
x9	0.00	0.61	0.36	1.00	0.42	0.00	0.48
x10	0.00	0.29	0.12	0.91	0.93	0.17	0.45
x11	0.00	0.08	0.18	0.81	0.11	0.60	0.24
x12	0.00	0.00	0.06	0.05	0.08	0.48	0.04
x13	0.00	0.00	0.04	0.09	0.09	0.37	0.04
x14	0.00	0.00	0.02	0.00	0.04	0.82	0.01
x15	0.00	0.00	0.08	0.07	0.09	0.35	0.05
x16	0.00	0.15	0.16	0.65	0.74	0.00	0.34
x17	0.00	0.00	0.00	0.02	0.10	0.20	0.02
x18	0.00	0.09	0.62	0.72	0.09	0.48	0.30
x19	0.00	0.19	0.08	1.00	0.27	0.11	0.31
x20	0.00	0.10	0.56	0.42	0.41	0.26	0.30
x21	0.00	0.35	1.00	0.84	0.62	0.38	0.56
x22	0.00	0.03	0.54	0.21	0.04	0.59	0.16
x23	0.00	0.48	0.12	0.95	0.07	0.77	0.32
x24	0.00	0.11	0.03	0.79	0.58	0.00	0.30
x25	0.00	0.26	0.03	0.70	0.67	0.80	0.33
x26	0.00	0.05	0.01	0.26	0.56	0.04	0.18
x27	0.00	0.13	0.06	0.35	0.42	0.04	0.19
x28	0.00	0.03	0.00	0.16	0.12	0.59	0.06
x29	0.00	0.06	0.04	0.44	0.34	0.19	0.18
x30	0.00	0.05	0.08	0.40	0.27	0.37	0.16
x31	0.00	0.05	0.06	0.33	0.41	0.02	0.17
x32	1.00	0.04	0.24	0.30	0.24	0.35	0.36
x33	0.43	0.02	0.17	0.23	0.22	0.59	0.21
x34	0.00	0.02	0.01	0.19	0.27	0.10	0.10
x35	0.00	0.01	0.02	0.12	0.07	0.90	0.04
x36	0.00	0.07	0.09	0.77	0.09	0.07	0.20
x37	0.00	0.13	0.03	0.67	0.24	0.06	0.21
x38	0.00	0.08	0.00	0.49	0.13	0.38	0.14
x39	0.00	0.14	0.05	0.37	0.04	0.87	0.12
x40	0.00	0.04	0.01	0.63	0.43	0.33	0.22
x41	0.00	0.08	0.05	0.47	0.00	1.00	0.12
x42	0.00	0.31	0.18	0.98	0.29	0.13	0.35
x43	0.00	0.27	0.02	1.00	0.08	0.27	0.27
x44	0.00	1.00	0.04	0.53	0.23	0.29	0.36
x45	0.00	0.98	0.27	0.86	0.24	0.89	0.47
x46	0.00	0.66	0.02	0.88	0.58	0.37	0.43
x47	0.00	0.65	0.10	0.93	0.07	0.72	0.35
48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.05	0.44	0.79	0.49	0.00	0.35
x1	0.00	0.02	0.12	0.44	0.24	0.00	0.16
x2	0.00	0.06	1.00	0.74	0.60	0.00	0.48
x3	0.00	0.04	0.32	0.60	0.33	0.08	0.26
x4	0.00	0.06	0.35	0.77	0.55	0.00	0.35
x5	0.00	0.04	0.38	0.72	0.41	0.00	0.31
x6	0.00	0.02	0.11	0.47	0.21	0.92	0.16
x7	0.00	0.03	0.11	0.56	0.03	0.66	0.15
x8	0.00	0.57	0.13	1.00	0.22	0.28	0.38
x9	0.00	0.60	0.18	1.00	0.05	0.51	0.37
x10	0.00	0.58	0.02	0.98	0.23	0.08	0.36
x11	0.00	0.08	0.02	0.58	0.12	0.27	0.16
x12	0.00	0.02	0.07	0.26	0.14	0.93	0.10
x13	0.00	0.01	0.21	0.30	0.10	0.61	0.12
x14	0.00	0.00	0.16	0.07	0.06	0.60	0.06
x15	0.00	0.02	0.15	0.42	0.09	0.28	0.14
x16	0.00	0.01	0.01	0.21	0.10	0.71	0.07
x17	0.00	0.01	0.90	0.12	0.06	0.97	0.22
x18	0.00	0.01	0.07	0.19	0.14	0.32	0.08
x19	0.00	0.44	0.15	1.00	0.06	0.15	0.33
x20	0.00	1.00	0.09	1.00	0.35	0.61	0.49
x21	0.00	0.26	0.07	0.95	0.22	0.09	0.30
x22	0.00	0.50	0.16	0.93	0.02	0.33	0.32
x23	0.00	0.05	0.20	0.40	0.18	0.37	0.17
x24	0.00	0.07	0.06	0.33	0.45	0.21	0.18
x25	0.00	0.24	0.04	0.84	1.00	0.03	0.42
x26	0.00	0.09	0.09	0.70	0.89	0.19	0.35
x27	0.00	0.01	0.04	0.16	0.09	0.24	0.06
x28	0.00	0.06	0.01	0.67	0.26	0.64	0.20
x29	0.00	0.15	0.01	0.88	0.67	0.38	0.34
x30	0.00	0.01	0.07	0.37	0.10	0.63	0.11
x31	1.00	0.01	0.06	0.09	0.07	0.08	0.25
x32	0.16	0.00	0.05	0.02	0.03	0.38	0.05
x33	0.51	0.00	0.02	0.00	0.00	0.23	0.11
x34	0.37	0.01	0.02	0.14	0.06	0.35	0.12
x35	0.64	0.00	0.02	0.05	0.05	0.19	0.15
x36	0.00	0.03	0.02	0.35	0.08	0.55	0.10
x37	0.00	0.10	0.11	0.81	0.23	0.38	0.25
x38	0.00	0.03	0.13	0.23	0.22	0.79	0.12
x39	0.00	0.10	0.04	0.63	0.40	0.59	0.23
x40	0.00	0.08	0.05	0.65	0.14	0.60	0.18
x41	0.00	0.09	0.05	0.86	0.26	0.69	0.25
x42	0.00	0.08	0.06	0.53	0.73	0.43	0.28
x43	0.00	0.11	0.06	0.49	0.24	0.30	0.18
x44	0.00	0.04	0.07	0.28	0.35	0.36	0.15
x45	0.00	0.36	0.00	1.00	0.09	0.30	0.29
x46	0.00	0.59	0.02	0.91	0.33	0.69	0.37
x47	0.00	0.11	0.01	0.51	0.19	1.00	0.16
48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.90	0.05	0.45	0.70	0.50	0.00	0.52
x1	0.00	0.03	0.22	0.35	0.29	0.02	0.18
x2	0.00	0.03	1.00	0.33	0.29	0.00	0.33
x3	0.00	0.05	0.41	0.51	0.34	0.09	0.26
x4	0.52	0.05	0.19	0.67	0.50	0.00	0.39
x5	0.63	0.03	1.00	0.28	0.33	0.00	0.45
x6	0.00	0.05	0.22	0.44	0.16	0.50	0.17
x7	0.00	0.05	0.55	0.40	0.04	0.12	0.21
x8	0.00	0.07	0.30	0.63	0.13	0.08	0.23
x9	0.00	0.08	0.42	0.65	0.27	0.16	0.28
x10	0.00	0.07	0.90	0.60	0.07	0.35	0.33
